"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2020","1,347.36","1,326.60","1,347.36","1,323.61","2.64B","2.63%"
"Jul 10, 2020","1,312.85","1,318.55","1,318.55","1,293.89","3.36B","-0.74%"
"Jul 09, 2020","1,322.59","1,355.72","1,360.32","1,320.66","3.47B","-1.93%"
"Jul 08, 2020","1,348.62","1,358.69","1,364.95","1,347.09","4.02B","-0.66%"
"Jul 07, 2020","1,357.58","1,351.42","1,362.54","1,334.85","4.71B","0.62%"
"Jul 06, 2020","1,349.17","1,330.37","1,349.92","1,330.37","2.31B","2.17%"
"Jul 03, 2020","1,320.46","1,344.25","1,345.00","1,315.57","2.05B","-1.45%"
"Jul 02, 2020","1,339.95","1,330.57","1,344.54","1,329.44","2.23B","1.14%"
"Jul 01, 2020","1,324.81","1,354.37","1,356.37","1,323.55","3.04B","-1.66%"
"Jun 30, 2020","1,347.19","1,347.03","1,353.46","1,342.46","3.51B","0.52%"
"Jun 29, 2020","1,340.21","1,326.80","1,342.23","1,322.42","2.22B","1.06%"
"Jun 26, 2020","1,326.14","1,334.36","1,336.24","1,323.45","1.28B","0.27%"
"Jun 25, 2020","1,322.60","1,325.03","1,334.07","1,315.31","1.89B","-0.25%"
"Jun 24, 2020","1,325.90","1,336.72","1,341.19","1,324.96","2.73B","-0.82%"
"Jun 23, 2020","1,336.90","1,340.42","1,348.41","1,334.84","2.34B","0.09%"
"Jun 22, 2020","1,335.72","1,331.76","1,340.64","1,326.21","3.02B","1.35%"
"Jun 19, 2020","1,317.97","1,312.22","1,324.39","1,307.29","3.74B","1.50%"
"Jun 18, 2020","1,298.43","1,277.70","1,300.25","1,277.70","2.56B","1.74%"
"Jun 17, 2020","1,276.21","1,282.48","1,285.46","1,270.03","1.34B","-0.29%"
"Jun 16, 2020","1,279.86","1,281.01","1,292.69","1,279.29","1.67B","1.07%"
"Jun 15, 2020","1,266.36","1,266.27","1,271.66","1,257.23","1.45B","-0.45%"
"Jun 12, 2020","1,272.09","1,258.90","1,276.96","1,251.96","1.73B","0.38%"
"Jun 11, 2020","1,267.24","1,272.72","1,279.29","1,262.40","2.22B","-0.82%"
"Jun 10, 2020","1,277.67","1,276.65","1,285.27","1,273.92","2.04B","0.38%"
"Jun 09, 2020","1,272.84","1,283.89","1,288.79","1,265.38","1.74B","-0.59%"
"Jun 08, 2020","1,280.45","1,289.34","1,298.40","1,276.24","1.72B","-0.48%"
"Jun 05, 2020","1,286.64","1,286.67","1,293.86","1,280.24","1.23B","0.59%"
"Jun 04, 2020","1,279.08","1,274.03","1,281.84","1,267.07","1.77B","0.63%"
"Jun 03, 2020","1,271.05","1,268.69","1,274.79","1,262.43","1.54B","0.96%"
"Jun 02, 2020","1,259.00","1,255.78","1,265.56","1,247.45","1.97B","0.76%"
"Jun 01, 2020","1,249.50","1,241.16","1,250.96","1,239.65","1.71B","1.65%"
"May 29, 2020","1,229.18","1,222.17","1,229.40","1,217.21","1.98B","0.37%"
"May 28, 2020","1,224.70","1,222.70","1,234.72","1,215.70","1.78B","0.68%"
"May 27, 2020","1,216.37","1,203.96","1,222.64","1,203.96","1.60B","1.81%"
"May 22, 2020","1,194.74","1,189.30","1,199.77","1,184.21","702.36M","0.24%"
"May 21, 2020","1,191.90","1,185.02","1,198.49","1,185.02","1.11B","0.66%"
"May 20, 2020","1,184.13","1,191.96","1,197.82","1,184.13","1.04B","-0.16%"
"May 18, 2020","1,186.03","1,170.69","1,188.95","1,170.69","1.12B","2.39%"
"May 15, 2020","1,158.29","1,158.47","1,173.56","1,158.29","835.37M","0.43%"
"May 14, 2020","1,153.30","1,161.56","1,163.87","1,146.77","1.14B","-0.93%"
"May 13, 2020","1,164.18","1,161.28","1,173.18","1,157.38","1.30B","0.26%"
"May 12, 2020","1,161.18","1,143.36","1,162.61","1,140.35","1.44B","1.67%"
"May 11, 2020","1,142.07","1,151.90","1,154.75","1,142.07","1.07B","-0.34%"
"May 08, 2020","1,145.91","1,154.39","1,163.08","1,143.22","1.64B","-0.30%"
"May 07, 2020","1,149.33","1,154.01","1,161.45","1,145.40","1.50B","-0.41%"
"May 06, 2020","1,154.03","1,156.43","1,162.01","1,148.45","1.27B","-0.14%"
"May 05, 2020","1,155.65","1,167.01","1,168.74","1,147.64","1.10B","-0.21%"
